Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.0,15772.61,20215.65,9533.17,5604.2,3088.05,1311.04,471.27,2369.41,3349.66
2,,0.0,16003.5,7219.2,10221.03,16105.35,14909.17,15434.46,13950.58,12776.88
3,,,0.0,10690.48,14613.55,17509.9,18912.61,19748.94,17851.81,16873.24
4,,,,0.0,3935.29,8896.39,8228.36,9065.4,7168.73,6190.68
5,,,,,0.0,5893.07,4696.98,5221.25,3737.71,2564.17
6,,,,,,0.0,1781.82,2619.81,2162.8,3337.75
7,,,,,,,0.0,840.72,1068.94,2137.79
8,,,,,,,,0.0,1901.21,2883.73
9,,,,,,,,,0.0,1176.45
10,,,,,,,,,,0.0
