Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.0,15757.69,20200.26,9517.67,5588.85,3281.49,1430.21,602.95,2102.55,3211.46
2,,0.0,16003.5,7219.2,10221.03,16325.27,14506.49,15335.96,14980.06,12922.93
3,,,0.0,10690.48,14613.55,17521.52,18775.12,19602.26,18111.89,16995.13
4,,,,0.0,3935.29,9116.02,8090.51,8918.81,7771.22,6312.53
5,,,,,0.0,6110.83,4293.5,5123.07,4768.92,2710.06
6,,,,,,0.0,1855.58,2682.57,1358.8,3413.04
7,,,,,,,0.0,833.43,674.83,1784.51
8,,,,,,,,0.0,1500.82,2614.0
9,,,,,,,,,0.0,2062.25
10,,,,,,,,,,0.0
